ginger	shínsher
ireland	aierland
reinhard	rainjard
zealand	zíland
satellite	sátalait
kind	kaind
pauline	polín
read	réd
site	sait
hedgehog	jéshjag
raiders	reiderz
ernie	erni
maker	meiker
bears	bérz
hayley	jeili
cruise	krúz
beauvais	bouvei
mohammad	moujámed
organization	organazeishan
vedette	vidét
buffer	báfer
johanna	shojána
later	leiter
hyundai	jiándei
herb	erb
nice	nais
nails	neilz
covenant	kóvenant
nightmare	naitmer
slater	sleiter
jürgen	shergen
operation	opereishan
sunderland	sánderland
hands	jándz
royce	rois
alternative	olternativ
nichols	níkolz
artois	artuó
lagrange	lágreinsh
nations	neishanz
sundance	sándans
bone	boun
funky	fánki
hearst	jerst
goebbels	goubelz
revival	rivaival
heritage	jératash
suicide	súasaid
foley	fouli
study	stádi
driver	draiver
jens	shénz
hornets	jórnets
hice	jais
behind	bijaind
mighty	maiti
buster	báster
maynard	meinerd
holt	joult
spice	spais
fever	fíver
melville	mélvil
chronicle	krónikel
falling	fálin
fund	fánd
villeneuve	vílinuv
bulletin	búlitan
lund	lánd
raleigh	róli
siegfried	sígfrid
straight	streit
skate	skeit
moreau	merou
mannheim	mánjaim
eindhoven	aindjouven
help	jélp
beaufort	boufert
rule	rúl
hurley	jerli
associated	asousieitad
pasteur	paster
murdoch	merdok
collage	kalásh
halen	jeilen
sessions	séshanz
danzig	dánzig
spiderman	spaiderman
hubbard	jáberd
tyrone	tairoun
bright	brait
ain't	eint
hi	jai
nike	naiki
being	bíin
yard	iárd
cassette	kasét
pubs	pábz
eyed	aid
jeans	shínz
acer	eiser
file	fail
rules	rúlz
production	prodákshan
cream	krím
dungeons	dánshenz
bluff	bláf
contemporary	kantémpereri
bean	bín
lindsey	líndzi
marianne	merián
keys	kíz
gillespie	gilespi
heinkel	jainkel
dictionary	díkshaneri
peak	pík
type	taip
friday	fraidi
byte	bait
vaughan	vón
buzz	báz
beast	bíst
survey	servei
beauty	biúti
burn	bern
upon	apón
millennium	milénium
bunny	báni
archie	árchi
peach	pích
host	joust
ready	rédi
clare	klér
harmony	jármani
suites	suíts
friend	frénd
hippie	jípi
hagen	jeigen
nights	naits
voyage	voiash
harriet	jériat
foreign	fóren
tails	teilz
rising	raizin
mile	mail
o'neal	ouníl
helmut	jélmat
lightning	laitnin
joker	shouker
revenge	rivénsh
coming	kómin
dictatorial	diktatórial
frame	freim
islands	ailandz
crane	krein
stay	stei
commission	komíshan
smile	smail
hayden	jeiden
rodgers	rósherz
pride	praid
many	méni
lives	lívz
volume	válium
talking	tókin
evening	ívnin
administration	administreishan
culture	kálcher
mcdonald's	makdánaldz
bugs	bágz
suspense	saspéns
spectrum	spéktram
croix	kroi
mcdonnell	makdánal
ascii	áski
danielle	daniél
remember	rimémber
carrie	kéri
sketch	skéch
used	iúzd
technologies	teknóloshiz
jessie	shési
beatrice	bíatres
donkey	dónki
laurie	lóri
clair	klér
spain	spein
mine	main
lonely	lounli
barbie	bárbi
paper	peiper
rubin	rúbin
timberlake	tímberleik
clermont	klérmont
revue	riviú
fairfield	férfild
making	meikin
i'll	ail
giant	shaiant
yokohama	ioukojáma
strike	straik
clear	klír
hurricane	jerakein
audrey	ódri
independence	indipéndans
bridges	bríshez
oracle	órakel
hate	jeit
fontaine	fontein
burning	bernin
pub	páb
engine	énshan
range	reinsh
dreyfus	draifas
brain	brein
hanover	jánouver
joint	shoint
ryder	raider
running	ránin
beaumont	boumont
peggy	pégi
butterfly	báterflai
piece	pís
branch	bránch
messenger	mésensher
prize	praiz
unplugged	anplágd
blanche	blánch
agency	eishansi
half	jáf
henrique	anrík
fayette	feiét
complete	kamplít
hilary	jíleri
pearson	pírson
björn	biórn
Étienne	étien
security	sikiúrati
hole	joul
tyson	taisan
davidson	deividson
rise	raiz
jungle	shángel
playoff	pleiof
pacers	peiserz
fate	feit
saints	seints
stories	stóriz
styles	stailz
tigers	taigerz
tea	tí
vogue	voug
hull	jál
hilbert	jílbert
horace	jóras
livingston	lívinston
picture	píkcher
i've	aiv
silence	sailans
salisbury	sálzberi
exchange	ikscheinsh
strange	streinsh
dodgers	dósherz
gilles	shíl
sunset	sánset
providence	právadans
flight	flait
hastings	jeistinz
interactive	interáktiv
lakes	leiks
nuggets	nágets
desert	dézert
jimi	shími
dayton	deiton
much	mách
julien	shúlian
brady	breidi
hanna	jána
early	erli
subdivide	sabdavaid
friedman	frídman
alzheimer	álzjaimer
hale	jeil
june	shún
rondeau	rondou
every	éveri
search	serch
garage	gerásh
sarsfield	sársfild
inside	insaid
please	plíz
rodney	ródni
pentium	péntiam
monkey	mónki
higgins	jíginz
dijon	díshon
katie	keiti
hat	ját
april	eipral
yamaha	iámaja
creative	krieitiv
smart	smárt
farm	fárm
murder	merder
private	praivat
artie	árti
ham	jám
image	ímash
daisy	deizi
republic	ripáblak
universe	iúnavers
billie	bíli
judy	shúdi
strong	strón
bud	bád
job	shób
parade	pereid
rights	raits
cave	keiv
fight	fait
airport	érport
coach	kouch
change	cheinsh
huntington	jántinton
save	seiv
buchanan	biukánan
tears	térz
laurence	lórans
eagles	ígelz
hubble	jábel
sunny	sáni
blazers	bleizerz
amazing	ameizin
blind	blaind
noise	noiz
believe	bilív
voyager	voiasher
fortune	fórchan
nottingham	nótinjam
midnight	mídnait
giants	shaiants
heinz	jainz
herald	jérald
holiday	jóladei
beyond	biónd
guggenheim	gúgenjaim
dragons	drágonz
stage	steish
bradford	brádferd
serge	sersh
baseball	beisból
also	ólsou
sterling	sterlin
fine	fain
cut	kát
holy	jouli
aviation	eivieishan
fields	fíldz
française	franséz
hold	jould
killer	kíler
deluxe	daláks
caché	kásh
fighting	faitin
evolution	evolúshan
quincy	kuínsi
geoffrey	shéfri
ville	víl
clayton	kleiton
apollo	apólou
eastern	ístern
beaver	bíver
hassan	jasán
jericho	shérikou
giulio	shúliou
bureau	biúrou
diane	daián
copyright	kápirait
duff	dáf
nationale	náshanalei
honey	jóni
durham	deram
fuji	fúshi
chao	chau
stevie	stívi
mclaren	makléran
priest	príst
reading	rédin
bryant	braiant
pope	poup
liam	líam
police	palís
lindsay	líndzi
mainstream	meinstrim
voice	vois
curry	kári
liechtenstein	líktenstain
vichy	víshi
halle	jál
charter	chárter
number	námber
joachim	iouákim
precede	prisíd
animation	anameishan
garfield	gárfild
lights	laits
emerge	imersh
banfield	bánfild
pretty	príti
flair	flér
highland	jailand
hand	jánd
björk	biórk
sahagún	sájagan
advanced	advánst
captain	káptan
casey	keisi
give	gív
motion	moushan
angle	ángel
survivor	servaiver
choice	chois
sinclair	sinklér
claus	klóz
abbey	ábi
hussein	jusein
energy	énershi
small	smól
code	koud
beijing	beishín
comes	kámz
echo	ékou
johnston	shónston
neville	névil
clarence	klérans
bytes	baits
vampire	vámpair
precinct	prísinkt
pain	pein
hendrix	jéndriks
beagle	bígel
services	servasez
middle	mídel
alone	aloun
zombie	zómbi
brighton	braiton
train	trein
hansen	jánsen
broken	brouken
language	lánguash
holding	jouldin
cobain	koubein
jeanne	shín
leigh	lí
studies	stádiz
store	stór
upper	áper
horse	jórs
cochrane	kákran
information	infermeishan
hello	jelou
flying	flaiin
building	bíldin
easy	ízi
michele	mishél
hampton	jámpton
purple	perpel
fitzgerald	fitsshérald
johns	shónz
before	bifór
slayer	sleier
pays	peiz
kay	kei
undertaker	ánderteiker
commodore	kámador
jump	shámp
eye	ai
advance	adváns
spielberg	spílberg
extreme	ekstrím
marine	merín
florence	flórans
peace	pís
suns	sánz
library	laibreri
cry	krai
hammer	jámer
voltaire	voultér
guide	gaid
community	kamiúnati
nassau	náso
savage	sávash
joy	shoi
fear	fír
angels	einshelz
fly	flai
knox	nóks
michaels	maikalz
jeffrey	shéfri
fighters	faiterz
challenger	chálensher
said	séd
chopin	shoupan
barney	bárni
dreams	drímz
alive	alaiv
player	pleier
fletcher	flécher
haven	jeiven
gates	geits
core	kór
hesse	jés
gone	gón
trail	treil
aircraft	érkraft
mgm	émgíém
christine	kristín
england	íngland
fry	frai
challenge	chálansh
snake	sneik
future	fiúcher
design	dizain
saturday	sáterdi
tonight	tonait
bailey	beili
diesel	dísel
justice	shástas
australian	ostreilian
hearts	járts
im	ím
robbie	róbi
some	sám
nature	neicher
gear	gír
enterprise	énterpraiz
gerald	shérald
child	chaild
hindi	jíndi
chrysler	kraisler
board	bórd
today	todei
roses	rouziz
pierce	pírs
ghost	goust
igor	igór
andreu	ándru
revolution	revolúshan
ranger	reinsher
laurent	lórent
hammond	jámond
key	kí
broadcasting	bródkastin
ocean	oushen
beautiful	biútafal
ajax	eishaks
hermes	jermiz
jenny	shéni
main	mein
freddie	frédi
paradise	péradais
palace	pálas
ronnie	róni
richter	ríkter
carnegie	kárnegi
riley	raili
guns	gánz
fischer	físher
rice	rais
alliance	alaiens
hoffman	jófman
rumble	rámbel
cold	kould
playboy	pleiboi
seat	sít
years	iírz
make	meik
sunday	sándei
maiden	meiden
gate	geit
performance	perfórmans
hulk	jálk
maggie	mági
presley	présli
development	divélopment
talk	tók
rain	rein
sugar	shúger
earl	erl
judo	shúdou
caroline	kéralain
fair	fér
cage	keish
trade	treid
zone	zoun
haydn	jaidan
alain	alein
leslie	lésli
late	leit
trance	tráns
müller	máler
airbus	érbas
janet	shánet
zhang	shán
byron	bairan
hal	jál
tiger	taiger
stevens	stívenz
erich	érik
true	trú
pleasant	plézant
adventure	advéncher
richardson	rícherdson
hunt	jánt
julius	shúlias
bird	berd
reynolds	rénoldz
médici	medísi
tracy	treisi
say	sei
holly	jáli
case	keis
aleksandr	alaksánder
name	neim
mirage	merásh
bahamas	bajámaz
porsche	pórshe
mind	maind
harald	járald
canterbury	kánterberi
kingston	kínston
berry	béri
absorber	abzórber
five	faiv
against	agénst
burke	berk
belle	bél
federation	federeishan
ellen	élen
rating	reitin
gore	gór
bradley	brádli
peugeot	piushou
rhode	roud
technology	teknálashi
heat	jít
josef	shousef
surf	serf
jake	sheik
dodge	dásh
bosch	bósh
avenue	ávenu
hero	jírou
henderson	jénderson
oakland	oukland
eyes	aiz
but	bát
year	iír
gays	geiz
eugene	iushín
human	jiúman
eagle	ígel
management	mánashmant
heaven	jéven
happy	jápi
harbor	járber
hannah	jána
money	móni
reagan	reigan
oak	ouk
deutsche	doich
crazy	kreizi
joyce	shois
church	cherch
mode	moud
jet	shét
gun	gán
computer	kompiúter
here	jír
face	feis
gene	shín
take	teik
hardy	járdi
european	iurapían
race	reis
jesse	shési
arcade	arkeid
soccer	sóker
poe	pou
yale	ieil
chase	cheis
remake	rímeik
joey	shoui
clay	klei
harvey	járvi
run	rán
hell	jél
hope	joup
burns	bernz
age	eish
bryan	braian
hughes	jiúz
blake	bleik
beat	bít
days	deiz
hugh	jiú
joel	shoual
butler	bátler
battle	bátel
ace	eis
rogers	rósherz
freud	froid
johan	iouján
holmes	joumz
grace	greis
johannes	shoujánes
berkeley	berkli
pearl	perl
kane	kein
gray	grei
place	pleis
head	jéd
hunter	jánter
reggae	régei
project	próshekt
edge	ésh
marge	mársh
people	pípel
lakers	leikerz
hermann	jerman
research	riserch
spears	spírz
georg	geiorg
raymond	reimond
baker	beiker
hart	járt
harold	jérold
sky	skai
summer	sámer
jay	shei
rachel	reichel
may	mei
chelsea	chélsi
manager	mánasher
mccartney	makártni
herbert	jerbert
playoffs	pleiofs
hardcore	járdkór
play	plei
claude	klód
hudson	jádson
guy	gai
dean	dín
square	skuér
charlotte	shárlat
force	fórs
buffy	báfi
anne	án
more	mór
rangers	reinsherz
kate	keit
plate	pleit
grove	grouv
graham	greiam
dream	drím
heart	járt
orange	óransh
seattle	siátal
cleveland	klívland
great	greit
maryland	méraland
jerry	shéri
baby	beibi
renault	renou
jefferson	shéferson
dead	déd
utah	iúto
oklahoma	ouklajouma
sport	spórt
manhattan	manjátan
are	ár
russel	rásel
harvard	járverd
jason	sheison
channel	chánel
jeff	shéf
cup	káp
ryan	raian
go	gou
hard	járd
apple	ápel
rose	rouz
