KM	kilómetros
KM2	kilómetros cuadrados
KM²	kilómetros cuadrados
KMH	kilómetros por hora
KM/H	kilómetros por hora
MPH	millas por hora
MP/H	millas por hora
M/S	metros por segundo
MTS/S	metros por segundo
M/SEG	metros por segundo
MTS/SEG	metros por segundo
MTS/SEGS	metros por segundo
M/SEGS	metros por segundo
MSNM	metros sobre el nivel del mar
M²	metros cuadrados
M2	metros cuadrados
MTS²	metros cuadrados
MTS2	metros cuadrados
M³	metros cúbicos
M3	metros cúbicos
MTS³	metros cúbicos
MTS3	metros cúbicos
CM	centímetros
CMS	centímetros
CM²	centímetros cuadrados
CM2	centímetros cuadrados
CMS2	centímetros cuadrados
CMS²	centímetros cuadrados
MM	milímetros
MM²	milímetros cuadrados
MM2	milímetros cuadrados
MM3	milímetros cúbicos
MM³	milímetros cúbicos
m3/s	metros cúbicos por segundo
m³/s	metros cúbicos por segundo
KG	kilogramos
KGS	kilogramos
GRS	gramos
GR	gramos
HAB/KM2	habitantes por kilómetro cuadrado
HAB/KM²	habitantes por kilómetro cuadrado
HAB/MI2	habitantes por milla cuadrada
HAB/M²	habitantes por milla cuadrada
=	igual
°	grados
º	grados
°C	grados centígrados
ºC	grados centígrados
°F	grados farenjeit
ºF	grados farenjeit
N°	número
N.°	número
Nº	número
N.º	número
NRO	número
%	porciento
&	y
A	a
B	be
C	ce
D	de
E	e
F	efe
G	ge
H	ache
I	i
J	jota
K	ka
L	ele
LL	elle
M	eme
N	ene
P	pe
Q	ku
R	erre
S	ese
T	te
U	u
V	ve
W	doble ve
X	equis
z	zeta
ETC	etcétera
CO2	dióxido de carbono
SRA	señora
FFCC	ferrocarril
RRHH	recursos humanos
FC	efe ce 
CD	ce de 
TV	te ve 
DVD	de ve de 
NBA	ene be a 
EE	ee
ADN	a de ene 
EP	ep
MTV	em ti vi
UU	uu
INE	ine
URSS	unión soviética 
BBC	be be ce 
CF	ce efe 
PSOE	pe ese o e 
LP	ele pe 
UEFA	uefa
PC	pe ce 
WWE	dobleve dobleve e 
DC	de ce 
AC	a ce
ABC	a be ce 
FM	efe eme 
US	us
FIFA	fifa
HMS	ache eme ese 
SS	ese ese 
HD	ache de 
USA	estados unidos
DJ	di yei
EEUU	estados unidos
USS	u ese ese 
IBM	i be eme 
CBS	ce be ese 
ONU	onu
PP	pe pe 
NBC	ene be ce 
OTAN	otan
UCI	uci
ETA	eta
PIB	pib
ISBN	i ese be ene 
UNAM	unam
TVE	te ve e 
NASA	nasa
UE	ue
CV	ce ve 
ATP	a te pe 
UK	uk
WWF	dobleve dobleve efe 
ISO	iso
NGC	ene ge ce 
CIA	cia
OS	os
FARC	fark 
PRI	pri 
NCAA	ene ce a a 
NFL	ene efe ele 
ARN	a erre ene 
UNESCO	unesco
FBI	efe be i 
EMI	emi
IP	i pe
BMW	be eme dobleve 
ACB	a ce be 
AM	a eme
UA	u a
TNA	te ene a 
GNU	ge ene u 
FCC	efe ce ce
GC	ge ce 
DS	de ese 
CPU	ce pe u 
RAF	raf
TC	te ce 
MVP	eme ve pe 
RCA	erre ce a 
VIH	v i ache
